time_s,motor_command,active_power_w,current_ma,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,weightonbit,drillz1position_m,ROP_ms,s_active_power_w,s_current_ma,s_tacho_rpm,s_imu_x_g,s_imu_y_g,s_imu_z_g,s_weightonbit,s_ROP_ms,air,mud,concrete,wet_mud,y_air,y_mud,y_concrete,y_wet_mud
339,1000,457.77429,706.45959,0,.22830001,.2617,.9425,62.589,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.92620742,-1.4863902,1,0,0,0,.9983810245262053,.0012149184243843,.0004942372493329,1.30070768387e-06
340,1000,457.77429,706.45959,0,.22830001,.2617,.9425,62.589,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.92620742,-1.4863902,1,0,0,0,.9983810245262053,.0012149184243843,.0004942372493329,1.30070768387e-06
341,1000,457.77429,706.45959,0,.22830001,.2617,.9425,62.589,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.92620742,-1.4863902,1,0,0,0,.9983810245262053,.0012149184243843,.0004942372493329,1.30070768387e-06
342,1000,457.77429,706.45959,0,.22830001,.2617,.9425,21.021,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.89503056,-1.4863902,1,0,0,0,.9983458381067168,.0012384713683688,.0004961127976856,1.31555973863e-06
343,1000,457.77429,706.45959,0,.22830001,.2617,.9425,21.021,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.89503056,-1.4863902,1,0,0,0,.9983458381067168,.0012384713683688,.0004961127976856,1.31555973863e-06
344,1000,457.77429,706.45959,0,.22830001,.2617,.9425,21.021,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.89503056,-1.4863902,1,0,0,0,.9983458381067168,.0012384713683688,.0004961127976856,1.31555973863e-06
345,1000,457.77429,706.45959,0,.22830001,.2617,.9425,21.021,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.89503056,-1.4863902,1,0,0,0,.9983458381067168,.0012384713683688,.0004961127976856,1.31555973863e-06
346,1000,457.77429,706.45959,0,.22830001,.2617,.9425,32.083,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.90332729,-1.4863902,1,0,0,0,.9983585336309538,.0012299367791538,.0004954505785086,1.31024416330e-06
347,1000,457.77429,706.45959,0,.22830001,.2617,.9425,32.083,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.90332729,-1.4863902,1,0,0,0,.9983585336309538,.0012299367791538,.0004954505785086,1.31024416330e-06
348,1000,457.77429,706.45959,0,.22830001,.2617,.9425,32.083,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.90332729,-1.4863902,1,0,0,0,.9983585336309538,.0012299367791538,.0004954505785086,1.31024416330e-06
349,1000,457.77429,706.45959,0,.22830001,.2617,.9425,52.033,-.0009475,0,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.9182902,-1.4863902,1,0,0,0,.9983748504265398,.0012190278636735,.0004945754744284,1.30334066749e-06
350,1000,457.77429,706.45959,0,.22830001,.2617,.9425,52.033,-.00095000002,125.00095,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.9182902,-1.4084536,1,0,0,0,.9983774927905025,.0012169430735083,.0004941542027311,1.30221951799e-06
351,1000,457.77429,706.45959,0,.22830001,.2617,.9425,52.033,-.00095750001,374.99994,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.9182902,-1.252582,1,0,0,0,.9983818377070733,.0012135549693656,.0004934943885727,1.30037851626e-06
352,1000,457.77429,706.45959,0,.22830001,.2617,.9425,52.033,-.00096249999,249.99899,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.9182902,-1.3305186,1,0,0,0,.9983798010233523,.001215135877703,.0004937977550037,1.30124104734e-06
353,1000,457.77429,706.45959,0,.22830001,.2617,.9425,27.906,-.00097250001,500.00092,-1.2860533,.88213593,-1.0933483,.90038234,.05265962,.28129479,.90019447,-1.1746452,1,0,0,0,.99836840976236,.0012219061810525,.0004937143934362,1.30609220342e-06
