time_s,cpu_t_degC,motor_command,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,WeightOnBit,DrillZ1Position_m,
1615154164.8384068,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5530.111111111124,1.25e-05,
1615154164.870442,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.111111111124,1.25e-05,
1615154164.8906202,26.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.111111111124,1.25e-05,
1615154164.9342625,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1333.111111111124,1.25e-05,
1615154164.9597986,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4098.111111111124,1.25e-05,
1615154164.989149,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4098.111111111124,1.25e-05,
1615154165.0216773,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.111111111124,1.25e-05,
1615154165.06863,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.111111111124,1.25e-05,
1615154165.1011603,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1556.111111111124,1.25e-05,
1615154165.1420789,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2746.111111111124,1.25e-05,
1615154165.1669722,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2746.111111111124,1.25e-05,
1615154165.2103093,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2746.111111111124,1.25e-05,
1615154165.2411048,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.111111111124,1.25e-05,
1615154165.2654443,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.111111111124,1.25e-05,
1615154165.3023295,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1909.111111111124,1.25e-05,
1615154165.3277276,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.111111111124,1.25e-05,
1615154165.3654065,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.111111111124,1.25e-05,
1615154165.4026399,26.771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1814.111111111124,1.25e-05,
1615154165.453855,28.719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.111111111124,1.25e-05,
1615154165.4965127,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1908.111111111124,1.25e-05,
1615154165.5240846,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.111111111124,1.25e-05,
1615154165.5624523,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.111111111124,1.25e-05,
1615154165.5868394,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.111111111124,1.25e-05,
1615154165.6161034,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.111111111124,1.25e-05,
1615154165.6497161,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.111111111124,1.25e-05,
1615154165.6741018,27.258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.111111111124,1.25e-05,
1615154165.7214868,29.206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2210.111111111124,1.25e-05,
1615154165.753579,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.111111111124,1.25e-05,
1615154165.7838988,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.111111111124,1.25e-05,
1615154165.8163295,26.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.111111111124,1.25e-05,
1615154165.8593452,26.284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.111111111124,1.25e-05,
1615154165.898494,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.111111111124,1.25e-05,
1615154165.9213493,27.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2520.111111111124,1.25e-05,
1615154165.9472077,28.232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-149.88888888887595,1.25e-05,
