time_s,cpu_t_degC,motor_command,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,WeightOnBit,DrillZ1Position_m,Formation,ROP,formation_change
1615155421.0,26.770999999999997,1.0,457.77429199999995,7064.595703000001,6201.2,0.0,0.22947,0.2625399999999999,0.9419900000000002,32298.25,-0.0010176249999999999,1.0,-9.266666666666624e-05,0.0
1615155421.7,27.087550000000004,1.0,600.4558715999998,5643.051269999998,6259.0,0.0,0.23610000000000006,0.2673,0.9391,6924.6,-0.00192475,1.0,-0.0012958927688671682,0.0
1615155422.2,26.746649999999995,1.0,574.2036743249998,5361.238037250003,6317.65,0.0,0.23389,0.26449500000000015,0.9401200000000003,10345.4,-0.0030287499999999998,1.0,-0.0022079999999999995,0.0
1615155423.0,26.917099999999998,1.0,561.1234771850001,5229.577417150001,6375.6,0.0,0.23307999999999995,0.2628099999999999,0.94296,41547.9,-0.004103000000000001,1.0,-0.001342812580037868,0.0
1615155423.65,27.014499999999998,1.0,554.7744446,5164.842651500001,6423.6,0.0,0.2347399999999999,0.26621999999999996,0.9421799999999999,8495.75,-0.005178875,1.0,-0.0016551920648439746,0.0
1615155424.0,27.1606,1.0,551.6020508,5108.9555660000005,6485.7,0.0,0.23606000000000002,0.26877000000000006,0.9407399999999999,27142.15,-0.006172625000000003,1.0,-0.002839286487929893,0.0
1615155424.9,27.111900000000002,1.0,547.6589203249999,5054.480591000001,6540.9,0.0,0.23275999999999994,0.2616900000000001,0.9436800000000003,20754.35,-0.00707975,1.0,-0.001007916559863982,0.0
1615155425.15,27.47715,1.0,545.4910339550003,5041.097168300001,6603.0,0.0,0.23329999999999992,0.2679,0.9399000000000001,6571.15,-0.008032500000000001,1.0,-0.0038110000000000054,0.0
1615155426.0,27.67195,1.0,543.9059448,5049.964844000001,6654.75,0.0,0.23120000000000007,0.263625,0.9414000000000001,-11359.5,-0.009061125,1.0,-0.001210147194598386,0.0
1615155426.55,27.209300000000002,1.0,543.0332946550001,4997.316381700001,6719.6,0.0,0.2331600000000001,0.26604999999999995,0.94141,-2853.05,-0.01010875,1.0,-0.0019047728924120896,0.0
1615155427.0,27.37975,1.0,543.397582975,4973.745410000001,6774.5,0.0,0.23529999999999998,0.26720000000000005,0.9402499999999998,-32488.15,-0.011213499999999998,1.0,-0.002454999739858863,0.0
1615155428.0,27.282349999999997,1.0,541.6512756,4952.620068400001,6826.25,0.0,0.23407499999999998,0.26555000000000006,0.9396999999999996,4267.6,-0.012246375000000002,1.0,-0.0010328750000000043,0.0
1615155428.45,27.331050000000005,1.0,537.3240722399999,4929.326904700002,6884.8,0.0,0.22927999999999993,0.26240000000000013,0.9406599999999997,-13433.25,-0.013310625000000003,1.0,-0.002364999749395611,0.0
1615155429.0,27.428450000000005,1.0,539.6903076,4928.120605000002,6946.0,0.0,0.24620000000000003,0.2651,0.9385,-3660.65,-0.014405250000000003,1.0,-0.0019902274452753455,0.0
1615155429.8,27.598899999999997,1.0,536.75158083,4945.1003902,7004.65,0.0,0.22588500000000003,0.2641650000000001,0.9439400000000002,-34442.75,-0.015386875000000003,1.0,-0.001227031323136766,0.0
1615155430.25,27.72065,1.0,534.9239746150002,4937.347948900001,7063.3,0.0,0.23447999999999997,0.26568,0.9396500000000001,-6721.05,-0.01648025,1.0,-0.0024297219647596083,0.0
1615155431.0,27.647600000000004,1.0,533.7571868449999,4907.421289,7114.6,0.0,0.23470500000000002,0.2653200000000001,0.9393800000000002,-27137.25,-0.017567999999999997,1.0,-0.0014503333333333313,0.0
1615155431.7,27.623250000000002,1.0,533.1245117,4896.004394999998,7162.35,0.0,0.22996500000000006,0.26412000000000013,0.9412900000000004,-27752.95,-0.018666250000000002,1.0,-0.001568928464553809,0.0
1615155432.25,27.8911,1.0,531.9748535500001,4915.1567871000025,7224.4,0.0,0.23735499999999998,0.26486000000000004,0.9384649999999999,800.9,-0.019742375,1.0,-0.0019565910787227823,0.0
1615155433.0,27.623249999999995,1.0,531.0979340050001,4895.082934700002,7289.0,0.0,0.23079999999999998,0.266,0.9396999999999999,-29139.0,-0.020802624999999998,1.0,-0.0014136666666666649,0.0
1615155433.55,27.623249999999995,1.0,530.7296905750001,4875.731079250001,7344.2,0.0,0.23256000000000002,0.266,0.9404199999999999,-13156.0,-0.021800625,1.0,-0.0018145456118623267,0.0
1615155434.05,28.0859,1.0,531.2794188999999,4875.243652000001,7406.3,0.0,0.23292999999999994,0.26649000000000006,0.9408099999999996,-31757.95,-0.022922249999999998,1.0,-0.0022432499999999952,0.0
1615155435.0,28.06155,1.0,530.7076446799999,4876.416308250001,7454.6,0.0,0.23266,0.26642,0.9410599999999999,16081.1,-0.024006375000000003,1.0,-0.0011411841532464257,0.0
1615155435.45,27.793699999999994,1.0,527.8199951150002,4862.618188149999,7516.7,0.0,0.23299000000000003,0.26621000000000006,0.9410300000000001,-31541.1,-0.02502525,1.0,-0.0022641664267469487,0.0
1615155436.0,27.842399999999998,1.0,525.74711912,4850.653613,7565.0,0.0,0.2346,0.26670000000000005,0.9404000000000001,-1742.5,-0.025997375000000007,1.0,-0.0017675001532381504,0.0
1615155436.75,28.183299999999996,1.0,526.8076172,4848.1547850000015,7633.0,0.0,0.23949999999999996,0.2640000000000001,0.9400999999999998,-59348.35,-0.026957624999999995,1.0,-0.0012803333333333184,0.0
1615155437.2,28.158949999999997,1.0,526.9998321500002,4855.528076249999,7695.1,0.0,0.23013999999999993,0.26732999999999996,0.94127,-99150.05,-0.028047375000000003,1.0,-0.0024216664100576765,0.0
1615155438.0,28.110249999999997,1.0,525.58749084,4859.606835750003,7753.75,0.0,0.23082499999999992,0.26364999999999983,0.9410249999999996,-184252.7,-0.029111750000000002,1.0,-0.0013304688293021211,0.0
1615155438.55,28.0859,1.0,525.1437255799999,4863.5770504,7815.2,0.0,0.23087999999999997,0.26476999999999984,0.9400550000000001,-225412.25,-0.030120624999999995,1.6,-0.0018343183408492854,1.0
1615155439.05,28.49985,1.0,528.2005614999999,4874.152831999998,7873.5,0.0,0.23364999999999997,0.26459999999999995,0.9403000000000002,-356620.25,-0.03128412500000001,2.0,-0.0023270000000000304,1.0
1615155440.0,28.329399999999993,1.0,531.36642764,4917.9460934,7931.8,0.0,0.23421499999999992,0.2631,0.941105,-411304.15,-0.032275125,2.0,-0.0010431578423772104,0.0
1615155440.4,28.30505,1.0,533.58071288,4913.830761799999,7982.9,0.0,0.23014,0.26322,0.9412999999999997,-433751.2,-0.033311875000000005,2.0,-0.002591874382049,0.0
1615155441.0,28.524199999999997,1.0,535.4380736999999,4924.5721195000015,8045.0,0.0,0.23499999999999996,0.2643000000000001,0.9412999999999997,-439753.9,-0.034429,2.0,-0.0018618752959371028,0.0
1615155441.95,28.3294,1.0,537.0766540550001,4968.88403335,8114.0,0.0,0.2283,0.26719999999999994,0.9426,-452499.9,-0.03561975,2.0,-0.0012534209897181337,0.0
1615155442.6,28.329399999999993,1.0,536.3973389000001,4973.5615229999985,8182.0,0.0,0.2378,0.265,0.9408999999999995,-492927.8,-0.036812625,2.0,-0.0018351927115791173,0.0
1615155443.1,28.232,1.0,538.0393065999999,4980.516113000001,8247.55,0.0,0.23295499999999997,0.2648100000000001,0.94299,-443670.6,-0.037976125000000006,2.0,-0.0023270000000000096,0.0
1615155444.0,28.256350000000005,1.0,537.1936157400003,4988.030859399998,8289.5,0.0,0.23457000000000003,0.26370000000000005,0.9421099999999999,-441775.35,-0.039020125,2.0,-0.001159999877081986,0.0
1615155444.55,28.64595,1.0,537.2229980799999,4988.337402599999,8338.0,0.0,0.23487500000000003,0.26344999999999985,0.9412749999999998,-441624.05,-0.040107125,2.0,-0.00197636380770976,0.0
1615155445.0,28.5242,1.0,538.0859954999999,4984.49123575,8389.0,0.0,0.2312,0.26539999999999997,0.9411999999999999,-455869.85,-0.041174,2.0,-0.0023708330821108244,0.0
1615155445.95,28.597250000000003,1.0,543.3160399999999,4994.464844000001,8451.1,0.0,0.23606000000000008,0.26549,0.93994,-414766.2,-0.042176625,2.0,-0.0010553946838682735,0.0
1615155446.25,28.719000000000005,1.0,540.5463195399999,4988.688793850001,8502.2,0.0,0.23237500000000008,0.26536999999999994,0.9414899999999996,-452161.6,-0.043171875000000005,2.0,-0.003317500527302518,0.0
1615155447.0,28.9138,1.0,538.22098996,4996.778613,8553.6,0.0,0.23278000000000004,0.2646999999999999,0.9419199999999996,-440123.0,-0.0442325,2.0,-0.0014141666666666608,0.0
1615155447.75,28.621599999999994,1.0,536.6722412,5017.578613000001,8622.6,0.0,0.23472000000000004,0.2647199999999999,0.9414400000000003,-407459.05,-0.045333624999999995,2.0,-0.0014681666666666593,0.0
1615155448.1,28.597249999999995,1.0,542.5579834,5006.462891000001,8681.0,0.0,0.23307499999999992,0.26639999999999986,0.9412749999999999,-389718.6,-0.04633875,2.0,-0.002871786496785443,0.0
1615155449.0,29.084250000000004,1.0,543.370559725,5008.850952499999,8732.0,0.0,0.2374999999999999,0.2673,0.9396999999999999,-365374.6,-0.04739462499999999,2.0,-0.0011731943201282909,0.0
1615155449.5,28.79205,1.0,542.95924076,5009.536670200001,8797.55,0.0,0.23199,0.2667300000000001,0.9386549999999998,-361973.6,-0.04838287499999999,2.0,-0.001976500000000006,0.0
1615155450.0,28.792050000000007,1.0,541.3674927,5009.279297,8845.2,0.0,0.23462500000000008,0.26663500000000007,0.9393799999999999,-373454.0,-0.049415125000000004,2.0,-0.0020645000000000246,0.0
1615155450.9,28.8651,1.0,542.2842681599998,5015.326733849998,8893.15,0.0,0.235045,0.2668449999999999,0.94008,-347560.8,-0.050479750000000004,2.0,-0.001182916541320319,0.0
1615155451.3,28.91379999999999,1.0,545.1832427999999,5023.442749,8958.7,0.0,0.23367999999999994,0.2672100000000001,0.9409300000000002,-326197.65,-0.051534,2.0,-0.0026356259425732876,0.0
1615155452.0,29.084249999999997,1.0,546.1808075200001,5033.644750999998,9007.0,0.0,0.2355,0.267,0.9417000000000005,-330390.75,-0.05261775,2.0,-0.0015482141802505562,0.0
1615155452.75,29.13295,1.0,545.5317688300001,5037.2145021999995,9071.6,0.0,0.23255500000000007,0.26605,0.9403700000000003,-374155.6,-0.053647625,2.0,-0.001373166666666666,0.0
